@lat,@lon,name,amenity,school,isced:level
54.3491985,18.5078948,Przedszkole Tik Tak,kindergarten,,
54.3324449,18.5529643,Publiczne Pozytywne Przedszkole nr 13,kindergarten,,
54.3639846,18.5883421,Publiczne Pozytywne Przedszkole nr 5,kindergarten,,
54.3143630,18.5937994,Przedszkole Preludium,kindergarten,,
54.3295985,18.6026210,Przedszkole nr 14,kindergarten,,
54.3219410,18.6023643,Publiczne Pozytywne Przedszkole nr 4,kindergarten,,
54.4228190,18.5731362,Collegium Gedanense,school,,
54.3220141,18.6316253,Państwowa Szkoła Muzyczna I stopnia im. Henryka Wieniawskiego,school,,
54.3238583,18.6372489,"Niepubliczne Przedszkole ""Krasnal""",kindergarten,,
54.3548709,18.6520506,"Przedszkole Zgromadzenia Sióstr Najświętszej Duszy Chrystusa Pana ""Solaris""",kindergarten,,
54.3673289,18.6093085,"Niepubliczna Szkoła Podstawowa dla Chłopców ""Fregata""",school,,
54.3021673,18.6300505,Przedszkole nr 24,kindergarten,,
54.3930172,18.6058837,Chatka Puchatka,kindergarten,,
54.3255584,18.6007555,Chrześcijańska Szkoła i Przedszkole Montessori nr 2,school,,
54.3136421,18.6015836,Morska Szkoła Podstawowa Gdańsk-Południe,school,,
54.4263280,18.4809349,Stacja Edukacja,kindergarten,,
54.4067879,18.6034719,XXI Liceum Ogólnokształcące z Oddziałami Sportowymi,school,,3
54.4087693,18.6063965,Zespół Szkół Kreowania Wizerunku,school,,
54.3484876,18.6641680,"Gdańska Szkoła Podstawowa ""Lingwista"" im. Zjednoczonej Europy",school,,
54.3557574,18.4940248,Przedszkole nr 8,kindergarten,,
54.3798748,18.5930575,Przedszkole św. Jana de La Salle,kindergarten,,
54.3466909,18.6641485,Szkoła Podstawowa nr 4 im. Króla Kazimierza Jagiellończyka,school,,
54.3571308,18.6098142,Przedszkole nr 21,kindergarten,,
54.3094447,18.6018161,Publiczne Pozytywne Przedszkole nr 14,kindergarten,,
54.4184171,18.4776625,"Twórcze Przedszkole ""Rośnij Radośnie""",kindergarten,,
54.3548611,18.5820817,Przedszkole nr 84,kindergarten,,
54.3610134,18.5794221,"Niepubliczny Punkt Przedszkolny ""Morenowy Porcik""",kindergarten,,
54.3609667,18.5801243,Przedszkole nr 74,kindergarten,,
54.3636709,18.7151088,Przedszkole nr 16,kindergarten,,
54.3500637,18.5392027,Marchewka,kindergarten,,
54.4088220,18.6365934,Przedszkole im św. Antoniego z Padwy,kindergarten,,
54.3473522,18.5644876,Szkoła Podstawowa nr 30,school,,
54.4289782,18.4678248,"Przedszkole Niepubliczne ""Mój Kotek""",kindergarten,,
54.3914494,18.5751574,Przedszkole nr 77 Specjalne dla Dzieci z Porażeniem Mózgowym,kindergarten,,
54.3868102,18.5728348,Przedszkole nr 42,kindergarten,,
54.3859084,18.6069999,Przedszkole nr 28,kindergarten,,
54.4173937,18.5664055,Przedszkole Niepubliczne Zgromadzenia Sióstr Opieki Społecznej pw. św. Antoniego,kindergarten,,
54.4116296,18.5551459,Przedszkole Sióstr Elżbietanek,kindergarten,,
54.3966565,18.5734261,Uniwersytet Gdański,university,,
54.4185925,18.5619502,Akademia Wychowania Fizycznego i Sportu im. Jędrzeja Śniadeckiego,university,,
54.3630943,18.6274451,Gdański Uniwersytet Medyczny,university,,
54.4210958,18.4804590,Zespół Szkół Ogólnokształcących nr 2,school,,
54.3200883,18.6370662,Centrum Kształcenia Zawodowego i Ustawicznego Nr 2 w Gdańsku,school,,
