external_id,source_portal,source_url,title,description,offer_type,price,area,rooms,floor,year_built,has_elevator,is_accessible,location,address,district_id,noise_db_min,noise_db_max
67907134,otodom,https://www.otodom.pl/pl/oferta/apartament-blisko-plazy-porto-od-czerwca-ID4AWKm,Apartament blisko plaży Porto-od czerwca,,rent,2300,30,ONE,,,,,,pomorskie,,,
67970642,otodom,https://www.otodom.pl/pl/oferta/szeroka-gdansk-centrum-dwa-pokoje-37m2-w-pelni-wyposazone-ID4BcgG,Szeroka || Gdańsk Centrum || dwa pokoje 37m2 || w pełni wyposażone,,rent,2900,37,TWO,,,,,,pomorskie,,,
60067152,otodom,https://www.otodom.pl/pl/oferta/do-wynajecia-mieszkanie-2-pokoje-gdansk-brzezno-ID442d2,Do wynajęcia mieszkanie 2 pokoje - Gdańsk Brzeźno,,rent,2300,41.5,TWO,,,,,,pomorskie,,,
65339396,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-60-m2-z-ogrodkiem-1-00m2-gdansk-zaspa-ID4q9Le,Mieszkanie 60 m2 z ogródkiem 1 00m2 Gdańsk Zaspa,,rent,4000,60,THREE,,,,,,pomorskie,,,
67228433,otodom,https://www.otodom.pl/pl/oferta/do-wynajecia-mieszkanie-2-pokojowe-gdansk-przymorze-46-m-ID4y5bz,"Do wynajęcia mieszkanie 2-pokojowe, Gdańsk Przymorze, 46 m²",,rent,2799,46,TWO,,,,,,pomorskie,,,
66897174,otodom,https://www.otodom.pl/pl/oferta/od-konca-czerwca-mieszkanie-2-pokoje-gdansk-kokoszki-ID4vH0G,OD KOŃCA CZERWCA -MIESZKANIE 2 POKOJE GDAŃSK KOKOSZKI,,rent,2600,44,TWO,,,,,,pomorskie,,,
67969675,otodom,https://www.otodom.pl/pl/oferta/2-pokojowe-mieszkanie-w-oliwie-parking-ID4Bc15,2 pokojowe mieszkanie w Oliwie + parking!,,rent,3390,50,TWO,,,,,,pomorskie,,,
64196563,otodom,https://www.otodom.pl/pl/oferta/komfortowe-mieszkanie-2-pokojowe-ID4lmsr,Komfortowe mieszkanie 2 pokojowe,,rent,2900,45,TWO,,,,,,pomorskie,,,
67942880,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-dwupokojowe-z-miejscem-postojowym-ul-mysliwska-ID4B52U,Mieszkanie dwupokojowe z miejscem postojowym - ul. Myśliwska,,rent,2700,51,TWO,,,,,,pomorskie,,,
67968338,otodom,https://www.otodom.pl/pl/oferta/szykowne-2-pokoje-po-remoncie-z-hala-garazowa-ID4BbFv,Szykowne 2 pokoje po remoncie z halą garażową,,rent,3000,43.3,TWO,,,,,,pomorskie,,,
67968292,otodom,https://www.otodom.pl/pl/oferta/gardenia-i-od-zaraz-i-miejsce-naziemne-i-komorka-w-cenie-i-blisko-ztm-ID4BbEM,Gardenia I od zaraz I miejsce naziemne i komórka w cenie I blisko ZTM,,rent,3200,59.4,THREE,,,,,,pomorskie,,,
63470378,otodom,https://www.otodom.pl/pl/oferta/mieszkanie-76-7-m-gdansk-osowa-ul-antygony-ID4ijxM,"Mieszkanie 76,7 m, Gdańsk Osowa ul. Antygony",,rent,3500,76.7,THREE,,,,,,pomorskie,,,
67967565,otodom,https://www.otodom.pl/pl/oferta/apartament-w-kamienicy-przy-wyspie-spichrzow-ID4Bbt3,Apartament w kamienicy przy wyspie Spichrzów,,rent,3999,90,THREE,,,,,,pomorskie,,,
67967551,otodom,https://www.otodom.pl/pl/oferta/wrzeszcz-3-pok-wyposazone-ID4BbsP,"Wrzeszcz, 3 pok, wyposażone",,rent,3000,53.04,THREE,,,,,,pomorskie,,,
67967049,otodom,https://www.otodom.pl/pl/oferta/wynajme-ladna-kawalerke-lawendowe-wzgorze-ID4BbkJ,Wynajmę ładną kawalerkę Lawendowe Wzgórze,,rent,2350,29,ONE,,,,,,pomorskie,,,
67966462,otodom,https://www.otodom.pl/pl/oferta/3-pokojowego-mieszkanie-z-balkonem-2-miejsca-parkingowe-w-cenie-ID4Bbbg,"3-pokojowego mieszkanie z balkonem, 2 miejsca parkingowe w cenie!",,rent,3900,59,THREE,,,,,,pomorskie,,,
63253161,otodom,https://www.otodom.pl/pl/oferta/3-pokojowe-kolo-parku-oliwskiego-ID4hp2h,3-pokojowe kolo Parku Oliwskiego,,rent,3800,58.7,THREE,,,,,,pomorskie,,,
